ActConfigID,RefGroupID,EditionID,ProductDescription,ProductKeyType,EULAType
056B6D4F-6EED-4E7B-8346-314064B8A202,3541,Professional,Visual Studio 2015 Professional Visual Studio 2015 RTM Professional Volume,Volume:GVLK,Volume
369B5C51-6454-4724-9831-72773DF9D004,3542,Enterprise,Visual Studio 2015 Enterprise Visual Studio 2015 RTM Enterprise Volume,Volume:GVLK,Volume
DE8390A1-A21B-4853-A183-6771C7CAAB31,3543,Premium,Visual Studio 2015 Premium Visual Studio 2015 RTM Premium Volume,Volume:GVLK,Volume
66DC4A32-C7E5-420B-BFC6-73429142E084,3544,Test Professional,Visual Studio 2015 Test Professional Visual Studio 2015 RTM Test Professional Volume,Volume:GVLK,Volume
4267FE83-561C-4C72-BFC2-19AB57D4673C,3545,Team Foundation Server,Visual Studio 2015 Team Foundation Server Visual Studio 2015 RTM Team Foundation Server Volume,Volume:GVLK,Volume
97D718DC-CDD1-4F5E-B4F9-2049AACD5EF9,3546,Professional,Visual Studio 2015 Future Visual Studio SKU - 1 Visual Studio 2015 RTM Future Visual Studio SKU - 1 Volume,Volume:GVLK,Volume
CF6602FA-6C0D-4D1E-AC56-312E686FB40C,3547,Professional,Visual Studio 2015 Future Visual Studio SKU - 2 Visual Studio 2015 RTM Future Visual Studio SKU - 2 Volume,Volume:GVLK,Volume
AFB937C7-C951-47FC-8432-338302E21693,3548,Professional,Visual Studio 2015 Future Visual Studio SKU - 3 Visual Studio 2015 RTM Future Visual Studio SKU - 3 Volume,Volume:GVLK,Volume
{c082c31b-2c4f-4e07-94d7-9181fa802c4b},3555,Cloud;CloudN;Core;CoreCountrySpecific;CoreN;CoreSingleLanguage;Education;EducationN;Enterprise;EnterpriseG;EnterpriseGN;EnterpriseS;Professional;ProfessionalEducation;ProfessionalEducationN;ProfessionalN;ProfessionalWorkstation;ProfessionalWorkstationN,Win 10 RTM Professional OEM:DM,OEM:DM,OEM
{fe74f55b-0338-41d6-b267-4a201abe7285},3556,Professional,Win 10 RTM Professional OEM:DM,OEM:DM,OEM
{040fa323-92b1-4baf-97a2-5b67feaefddb},3557,Professional,Win 10 RTM Professional OEM:DM,OEM:DM,OEM
{4053f6e4-20bb-49f2-b808-8385c48b5cd5},3558,ProfessionalN,Win 10 RTM ProfessionalN OEM:DM,OEM:DM,OEM
{6ccd24e5-8cc4-49ae-8996-dcfdcb4e1dc2},3559,ProfessionalN,Win 10 RTM ProfessionalN OEM:DM,OEM:DM,OEM
{1b750385-9fe2-49a8-ab55-149d0546395b},3560,Core,Win 10 RTM Core OEM:DM,OEM:DM,OEM
{d7fb0c28-1eea-4f68-98a1-f988aa838ab5},3561,CoreCountrySpecific,Win 10 RTM CoreCountrySpecific OEM:DM,OEM:DM,OEM
{da9621af-f086-4244-b563-18611e51aa1a},3562,CoreSingleLanguage,Win 10 RTM CoreSingleLanguage OEM:DM,OEM:DM,OEM
{3df374ef-d444-4494-a5a1-4b0d9fd0e203},3563,Professional,Win 10 RTM Professional OEM:DM,OEM:DM,OEM
{f2fcf500-9451-458a-b15c-b80e6889c838},3568,Core,Win 10 Pre-Release Core OEM:DM,OEM:DM,OEM
{0e670d3a-4b91-49c4-bc4a-f4b0a7c13c0c},3569,Core,Win 10 Pre-Release Core OEM:NONSLP,OEM:NONSLP,OEM
{8856f6c4-77b5-43e8-9d3a-f743888913ee},3570,Core,Win 10 Pre-Release Core Retail,Retail,Retail
{63ccfe35-779e-4eff-b5d8-6f849505c39c},3571,Core,Win 10 Pre-Release Core Retail Qihoo,Retail,Retail
